"player_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"311","5","80","80","2856","410","945","108","298","404","201","67","23","1131"
"311","6","17","0","126","16","54","2","17","16","3","2","2","40"
"311","7","77","23","1524","222","526","86","233","277","62","45","20","596"
"312","2","82","82","2581","512","1100","57","179","506","192","101","39","1258"
"312","3","81","0","2153","411","845","34","108","485","144","68","51","1115"
"312","4","76","76","2374","406","889","71","196","492","126","82","42","1063"
"312","5","64","45","1629","305","718","47","155","352","124","58","34","765"
"312","6","63","7","1227","174","436","43","124","279","65","41","42","467"
"312","7","82","32","1837","266","653","45","134","396","108","77","64","670"
"315","1","45","14","524","63","133","0","0","121","15","15","25","163"
"315","2","81","80","2045","314","566","2","6","591","55","33","97","785"
"315","3","82","30","1770","285","545","4","24","528","62","27","100","770"
"315","4","54","52","1104","169","328","0","1","264","43","16","31","401"
"315","5","76","48","1326","203","359","1","7","337","33","22","57","475"
"315","6","44","35","687","100","190","0","0","179","22","15","42","239"
"315","7","41","1","366","44","87","0","2","107","9","6","18","108"
"316","4","55","41","1406","208","551","56","178","178","217","41","13","603"
"316","5","68","66","2068","329","905","74","232","232","372","65","35","872"
"317","2","38","13","866","194","397","20","51","154","44","18","7","512"
"317","3","37","0","290","57","124","3","11","53","6","8","1","143"
"317","4","78","1","1516","288","598","49","146","220","35","22","6","772"
"317","5","82","0","1682","317","681","44","152","267","52","24","7","863"
"318","4","38","8","322","50","116","9","23","42","48","8","6","130"
"319","4","82","10","1764","295","730","115","344","214","170","52","24","811"
"320","2","40","8","502","83","151","9","22","119","25","16","19","197"
"320","3","20","0","215","31","73","0","3","52","7","3","10","76"
"320","4","70","3","1237","170","337","46","110","240","95","30","41","435"
"320","5","60","0","565","76","152","12","39","117","34","13","27","195"
"322","4","63","7","1442","190","361","10","36","369","96","82","40","449"
"322","5","63","22","1266","158","300","1","10","312","44","54","23","349"
"323","2","51","10","1012","87","228","43","118","113","130","40","4","261"
"323","4","53","2","512","73","183","34","92","61","67","32","2","218"
"323","5","55","0","600","68","201","34","104","55","97","23","1","203"
"324","1","76","76","2319","374","838","119","297","226","456","75","3","997"
"324","2","63","29","1407","205","504","89","258","146","253","47","6","523"
"324","3","68","68","2179","294","747","136","391","231","476","52","5","820"
"324","4","75","39","2045","268","604","106","273","192","385","53","8","687"
"324","5","39","15","1036","113","307","43","144","115","190","25","5","299"
"324","6","57","57","1706","259","606","87","231","181","325","38","5","676"
"324","7","56","56","1977","306","780","121","355","209","413","71","6","822"
"325","4","40","0","346","41","91","10","31","30","34","21","5","100"
"325","5","81","53","1499","180","418","64","162","120","174","62","2","476"
"326","1","48","48","1576","211","402","0","1","498","107","48","72","561"
"326","2","67","67","2049","190","427","0","2","646","312","48","74","485"
"326","3","80","80","2820","380","800","0","2","900","431","99","121","1007"
"326","4","46","46","1015","99","201","0","1","402","103","30","37","232"
"326","5","29","2","635","51","133","0","1","255","110","18","29","124"
"326","6","64","64","1945","249","490","0","1","629","160","41","92","652"
"326","7","66","64","2426","303","630","0","5","733","262","78","141","784"
"327","2","75","71","2311","302","653","0","0","611","128","133","142","744"
"327","4","51","19","1047","184","309","0","1","294","50","65","51","445"
"327","5","67","62","1965","306","587","1","2","542","122","118","100","747"
"328","2","6","0","23","2","8","0","0","11","1","2","0","6"
"328","4","57","6","1088","103","156","3","12","243","42","52","90","253"
"328","5","29","1","225","28","44","1","3","46","7","12","12","65"
"329","1","73","73","2504","610","1179","66","168","513","190","38","47","1681"
"329","2","77","77","2282","487","1062","104","274","457","143","39","33","1333"
"329","3","80","80","2628","633","1273","131","329","498","216","73","45","1735"
"329","4","54","54","1424","296","678","79","209","353","82","30","38","769"
"329","5","75","75","2364","498","1112","126","342","489","132","52","52","1372"
"329","6","62","62","2079","473","1034","78","212","418","136","42","30","1342"
"329","7","53","47","1661","343","728","65","157","363","132","38","37","917"
"331","2","62","27","1103","171","383","0","2","382","50","52","68","426"
"331","4","65","48","1391","271","534","0","1","467","123","50","74","662"
"331","5","32","3","547","101","242","0","3","175","40","24","44","263"
"332","4","20","2","397","47","81","1","5","62","14","13","7","120"
"333","2","34","15","368","44","120","0","0","64","17","5","4","100"
"333","4","11","0","80","15","30","3","6","19","6","0","1","38"
"333","5","66","4","857","86","209","1","1","176","32","18","8","200"
"335","2","51","17","824","119","242","12","43","199","59","31","39","294"
"335","3","69","19","1188","186","371","0","3","364","78","39","88","429"
"335","4","79","8","1229","215","413","2","17","439","117","36","104","496"
"335","5","65","1","764","129","271","5","22","250","72","20","49","309"
"335","7","57","5","638","101","197","0","1","209","52","11","26","232"
"337","4","50","33","1134","242","471","0","0","240","58","20","49","590"
"337","5","53","48","1591","397","781","1","6","373","65","22","61","928"
"338","2","72","71","2573","473","1086","84","248","302","295","120","19","1292"
"338","3","80","44","2487","392","936","74","226","329","327","129","37","1106"
"338","4","67","67","2222","412","932","127","352","291","176","78","21","1067"
"338","5","72","52","2379","425","970","98","282","345","282","116","54","1153"
"339","2","64","13","1423","251","528","61","175","303","109","64","39","656"
"339","3","70","9","1400","234","502","40","114","365","109","35","27","607"
"339","4","75","6","1538","260","508","68","192","360","148","43","29","678"
"339","5","69","8","1395","253","556","85","210","281","105","52","33","687"
"341","4","79","5","1605","186","442","54","188","260","47","58","17","501"
"341","5","63","9","671","90","211","25","79","133","13","22","7","236"
"342","1","79","7","1244","107","232","0","0","333","58","34","22","349"
"342","2","73","45","1730","240","529","0","3","500","178","80","21","606"
"342","3","53","43","1325","149","349","0","1","333","136","45","14","408"
