"player_id","team_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"174","23","1","49","49","1815","270","618","56","184","274","89","40","21","744"
"171","22","1","8","0","92","17","35","7","19","15","2","2","1","41"
"781","19","1","41","6","531","56","99","0","0","171","16","11","12","129"
"708","4","1","79","79","2763","535","1260","157","407","425","203","89","62","1622"
"1007","18","1","59","28","959","81","200","5","21","123","40","14","1","198"
"1006","10","1","39","8","586","82","179","9","30","84","18","6","7","202"
"167","25","1","55","12","1636","294","522","1","4","513","53","29","70","717"
"167","30","1","25","2","396","44","81","0","0","118","17","7","21","100"
"166","7","1","56","56","2112","427","949","106","291","164","244","71","18","1247"
"706","34","1","82","27","2131","339","770","107","266","195","171","48","16","921"
"623","16","1","35","18","860","156","362","3","20","238","47","21","18","396"
"780","7","1","76","62","2095","207","505","72","211","254","118","62","12","547"
"163","22","1","80","79","2426","441","1018","154","441","295","393","123","28","1393"
"162","2","1","80","19","1742","234","502","1","8","458","58","39","106","569"
"852","10","1","67","15","1865","264","660","118","293","177","201","48","21","780"
"160","4","1","61","19","1265","179","395","41","138","224","65","62","26","476"
"499","10","1","40","29","973","108","234","17","49","157","33","33","16","297"
"499","17","1","11","5","127","12","27","0","2","22","5","7","0","32"
"499","22","1","5","0","18","1","3","0","0","3","0","0","2","2"
"159","29","1","54","54","2152","409","869","57","144","336","153","91","58","1069"
"158","20","1","82","82","3037","593","1120","1","3","836","273","48","130","1541"
"157","29","1","81","81","2586","364","691","3","7","569","200","74","136","951"
"622","6","1","71","71","2220","434","822","1","5","631","171","95","57","1056"
"705","15","1","58","34","1386","207","475","81","224","133","71","51","49","560"
"155","1","1","14","12","433","54","131","20","54","76","22","13","9","206"
"155","28","1","48","48","1671","211","509","83","239","229","82","38","18","764"
"944","18","1","10","0","146","20","48","4","17","24","25","9","0","55"
"944","21","1","6","0","90","15","35","3","15","8","11","4","1","35"
"944","27","1","8","0","65","7","22","2","6","6","6","3","0","21"
"943","18","1","14","5","166","17","41","0","0","49","3","3","11","39"
"943","5","1","28","4","297","37","88","0","1","86","11","10","18","79"
"153","25","1","77","64","2541","358","829","171","439","513","96","46","79","976"
"496","7","1","63","24","1551","206","531","71","217","103","170","47","21","616"
"942","4","1","56","3","940","80","167","0","3","350","46","24","31","187"
"940","4","1","41","3","773","91","236","6","32","81","141","35","8","223"
"939","1","1","63","11","791","124","273","19","58","116","49","23","6","326"
"937","27","1","53","8","983","108","296","31","100","77","182","34","3","279"
"778","20","1","82","82","2297","206","529","63","159","152","224","99","8","558"
"702","28","1","82","81","2541","299","602","86","219","521","155","80","17","797"
"936","33","1","53","1","456","44","100","0","1","108","18","4","16","106"
"935","11","1","78","3","1821","213","575","116","361","172","193","87","14","668"
"145","1","1","21","0","663","88","204","28","61","75","137","28","0","241"
"145","28","1","54","54","2074","339","801","88","268","194","488","97","11","923"
