"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Gorgui Dieng","2017","MIN","82","82","2653","332","661","16","43","647","158","88","95","816"
"Spencer Dinwiddie","2017","BRK","59","18","1334","134","302","38","101","164","185","44","23","432"
"Toney Douglas","2017","MEM","24","0","394","43","117","7","42","61","56","18","5","117"
"Goran Dragic","2017","MIA","73","73","2459","534","1124","117","289","278","423","89","13","1483"
"Andre Drummond","2017","DET","81","81","2409","483","911","2","7","1116","89","124","89","1105"
"Jared Dudley","2017","PHO","64","7","1362","157","346","77","203","225","121","42","16","434"
"Mike Dunleavy","2017","TOT","53","2","841","93","220","53","134","115","50","15","7","275"
"Mike Dunleavy","2017","CLE","23","2","366","36","90","20","57","47","20","6","2","106"
"Mike Dunleavy","2017","ATL","30","0","475","57","130","33","77","68","30","9","5","169"
"Kris Dunn","2017","MIN","78","7","1333","118","313","21","73","166","188","78","36","293"
"Kevin Durant","2017","GSW","62","62","2070","551","1026","117","312","513","300","66","99","1555"
"Jarell Eddie","2017","PHO","5","0","62","6","19","4","16","7","0","1","0","24"
"Henry Ellenson","2017","DET","19","2","146","23","64","10","35","41","7","1","1","60"
"Wayne Ellington","2017","MIA","62","13","1500","231","555","149","394","133","70","35","4","648"
"Monta Ellis","2017","IND","74","33","1998","247","557","43","135","204","236","79","27","630"
"Joel Embiid","2017","PHI","31","31","786","200","429","36","98","243","66","27","76","627"
"James Ennis","2017","MEM","64","28","1501","146","321","51","137","259","64","46","19","429"
"Tyler Ennis","2017","TOT","53","2","588","90","208","27","70","46","86","26","2","228"
"Tyler Ennis","2017","HOU","31","0","196","25","64","6","16","19","34","6","0","58"
"Tyler Ennis","2017","LAL","22","2","392","65","144","21","54","27","52","20","2","170"
"Tyreke Evans","2017","TOT","40","6","788","150","370","42","118","137","124","35","9","411"
"Tyreke Evans","2017","NOP","26","0","474","91","227","21","70","86","91","23","4","248"
"Tyreke Evans","2017","SAC","14","6","314","59","143","21","48","51","33","12","5","163"
"Dante Exum","2017","UTA","66","26","1228","155","363","44","149","132","112","21","12","412"
"Kenneth Faried","2017","DEN","61","34","1296","228","416","0","6","461","55","43","40","587"
"Jordan Farmar","2017","SAC","2","0","35","4","12","4","9","3","9","2","0","12"
"Derrick Favors","2017","UTA","50","39","1186","203","417","3","10","305","56","45","40","476"
"Kay Felder","2017","CLE","42","0","386","62","158","7","22","41","58","18","7","166"
"Cristiano Felicio","2017","CHI","66","0","1040","128","222","0","0","311","40","25","16","316"
"Raymond Felton","2017","LAC","80","11","1700","221","514","46","144","217","191","67","22","538"
"Yogi Ferrell","2017","TOT","46","29","1197","160","394","68","176","111","172","42","9","462"
"Yogi Ferrell","2017","BRK","10","0","151","18","49","8","27","12","17","2","2","54"
"Yogi Ferrell","2017","DAL","36","29","1046","142","345","60","149","99","155","40","7","408"
"Dorian Finney-Smith","2017","DAL","81","35","1642","124","333","56","191","221","67","52","25","350"
"Bryn Forbes","2017","SAS","36","0","285","36","99","17","53","23","23","1","0","94"
"Evan Fournier","2017","ORL","68","66","2234","408","930","128","360","209","202","66","4","1167"
"Randy Foye","2017","BRK","69","40","1284","118","325","67","203","155","135","35","9","357"
"Tim Frazier","2017","NOP","65","35","1525","163","404","40","128","173","335","56","6","464"
"Channing Frye","2017","CLE","74","15","1398","238","520","137","335","290","45","33","37","676"
"Danilo Gallinari","2017","DEN","63","63","2134","335","750","126","324","326","135","40","15","1145"
"Langston Galloway","2017","TOT","74","2","1495","207","545","120","308","156","93","46","6","585"
"Langston Galloway","2017","NOP","55","0","1120","165","441","101","268","121","65","40","5","471"
"Langston Galloway","2017","SAC","19","2","375","42","104","19","40","35","28","6","1","114"
"Patricio Garino","2017","ORL","5","0","43","0","7","0","5","7","0","0","0","0"
"Marc Gasol","2017","MEM","74","74","2531","532","1160","104","268","462","338","67","99","1446"
"Pau Gasol","2017","SAS","64","39","1627","303","604","56","104","501","150","24","70","792"
"Rudy Gay","2017","SAC","30","30","1013","201","442","42","113","190","82","44","26","562"
"Michael Gbinije","2017","DET","9","0","32","1","10","0","4","3","2","0","0","4"
"Alonzo Gee","2017","DEN","13","0","89","3","14","0","3","15","6","5","1","11"
"Paul George","2017","IND","75","75","2689","622","1349","195","496","492","251","117","27","1775"
"Marcus Georges-Hunt","2017","ORL","5","0","48","2","7","1","2","9","3","1","0","14"
"Jonathan Gibson","2017","DAL","17","0","231","35","95","15","45","22","26","8","0","106"
"Taj Gibson","2017","TOT","78","71","1989","365","709","3","13","486","73","42","66","846"
"Taj Gibson","2017","CHI","55","55","1502","276","530","2","12","383","60","28","51","639"
"Taj Gibson","2017","OKC","23","16","487","89","179","1","1","103","13","14","15","207"
"Manu Ginobili","2017","SAS","69","0","1291","171","439","89","227","157","183","82","16","517"
"Rudy Gobert","2017","UTA","81","81","2744","413","624","0","1","1035","97","49","214","1137"
"Archie Goodwin","2017","TOT","15","0","214","36","66","5","15","28","24","4","5","110"
"Archie Goodwin","2017","NOP","3","0","30","2","5","1","2","0","1","0","1","15"
"Archie Goodwin","2017","BRK","12","0","184","34","61","4","13","28","23","4","4","95"
"Aaron Gordon","2017","ORL","80","72","2298","393","865","77","267","405","150","64","40","1019"
"Eric Gordon","2017","HOU","75","15","2323","412","1016","246","661","201","188","48","40","1217"
"Marcin Gortat","2017","WAS","82","82","2556","390","674","0","2","849","121","40","65","883"
"Treveon Graham","2017","CHO","27","1","189","19","40","9","15","22","6","6","1","57"
"Jerami Grant","2017","TOT","80","4","1531","152","328","43","116","206","46","33","79","437"
"Jerami Grant","2017","PHI","2","0","41","6","17","0","2","7","0","0","4","16"
"Jerami Grant","2017","OKC","78","4","1490","146","311","43","114","199","46","33","75","421"
"Jerian Grant","2017","CHI","63","28","1028","128","301","49","134","111","120","47","8","370"
"Danny Green","2017","SAS","68","68","1807","176","449","118","311","224","124","71","58","497"
"Draymond Green","2017","GSW","76","76","2471","272","650","81","263","599","533","154","106","776"
